DAS,TEMP,RH,PPFD,CO2,H,P_ATM,t_A,t_A_%,VP_SAT,VP_AIR,VPD,ALPHA,BETA,DCG,DOP,CGR,TEB,TCB,P_GROSS,P_NET,g_S,g_C,DTR
14.0,20.72599495,45.93869359,340.0,418.7790963,18.0,101.0,28,0.5,2.4494226362742477,1.125232759602127,1.3241898766721207,0.0056914953275650935,0.05154902589614614,0.12539502505691413,0.13542662706146727,3.7652050686276963,13.265205068627697,13.928465322059083,17.526668804689688,5.832998509701522,0.023254769025459407,0.02304044889850832,0.35326326660567886
15.0,21.54017288,53.61063467,340.0,406.4143229,18.0,101.0,28,0.5357142857142857,2.575098075569053,1.3805264216875255,1.1945716538815274,0.011010677836969109,0.018070627700146998,0.2425872541041034,0.2619942344324317,7.284106832170386,20.549311900798084,21.57677749583799,6.14401341804998,4.343726202939617,0.04738696769959727,0.04650546648433806,0.6432406631869291
16.0,21.5855135,61.25291695,340.0,396.2568576,18.0,101.0,28,0.5714285714285714,2.58225961877968,1.5817093397245041,1.000550279055176,0.01130296378493896,0.01936138682158607,0.24902689810977519,0.26894904995855723,7.477468412817692,28.026780313615777,29.428119329296567,6.582871519339264,4.527973644994251,0.07492054636819082,0.0727406390013304,0.8427006136526659
17.0,21.49777147,62.77004473,340.0,402.9554688,18.0,101.0,28,0.6071428571428571,2.5684165063169027,1.6121961898678232,0.9562203164490793,0.011595249732908812,0.02065214594302514,0.25546654211544695,0.2759038654846827,7.670829993464997,35.69761030708077,37.48249082243481,7.021729620628548,4.712221087048884,0.08037518622001982,0.07787160821539393,0.862172946918476
18.0,21.47418359,65.19331613,340.0,399.8699942,18.0,101.0,28,0.6428571428571429,2.564706121712044,1.6720169697331955,0.8926891519788486,0.011887535680878664,0.021942905064464214,0.2619061861211187,0.28285868101080824,7.864191574112302,43.56180188119308,45.73989197525273,7.4605877219178325,4.896468529103517,0.09186593513419931,0.08860984463828254,0.9158819776037742
19.0,21.45366064,70.52161072,340.0,399.451331,18.0,101.0,28,0.6785714285714286,2.561481667279921,1.8063981300633114,0.7550835372166097,0.012179821628848515,0.023233664185903283,0.2683458301267905,0.2898134965369337,8.057553154759606,51.61935503595268,54.200322787750316,7.899445823207117,5.080715971158151,0.11342194561090103,0.10849945777162677,0.94859285755464
20.0,21.41556871,72.06888069,340.0,409.3249421,18.0,101.0,28,0.7142857142857143,2.555506268192696,1.8417247634492655,0.7137815047434304,0.012472107576818369,0.024524423307342356,0.2747854741324623,0.2967683120630593,8.250914735406912,59.87026977135959,62.86378325992757,8.338303924496401,5.264963413212785,0.11945805147609904,0.11401027343116152,0.94225089493209
21.0,21.3844964,65.20032942,340.0,415.8295428,18.0,101.0,28,0.75,2.550641055429344,1.6630263704616972,0.8876146849676468,0.01276439352478822,0.02581518242878143,0.28122511813813406,0.3037231275891848,8.444276316054216,68.3145460874138,71.7302733917845,8.777162025785685,5.4492108552674186,0.09699537240118081,0.09337268505748139,0.9596251186532461
22.0,21.28865989,58.28784001,340.0,416.2971354,18.0,101.0,28,0.7857142857142857,2.535686247973084,1.4779967433741228,1.0576895045989612,0.013056679472758072,0.0271059415502205,0.2876647621438058,0.31067794311531033,8.637637896701522,76.95218398411532,80.79979318332109,9.21602012707497,5.633458297322051,0.0736777197785342,0.07156851770165905,0.8764708932103996
23.0,21.23827253,52.80865919,340.0,403.5656829,18.0,101.0,28,0.8214285714285714,2.52785436310784,1.334925995433164,1.1929283676746758,0.013348965420727926,0.028396700671659572,0.29410440614947764,0.31763275864143586,8.830999477348827,85.78318346146415,90.07234263453736,9.654878228364254,5.817705739376685,0.056692120443273444,0.05543502871343411,0.7656951987250432
24.0,21.31791245,54.24721924,340.0,395.1063368,18.0,101.0,28,0.8571428571428571,2.54024280866143,1.3780110856428995,1.1622317230185304,0.013641251368697777,0.02968745979309864,0.3005440501551494,0.3245875741675614,9.024361057996131,94.80754451946028,99.5479217454333,10.093736329653538,6.001953181431318,0.06673185832839836,0.06499691242763661,0.8746669826178806
25.0,21.18793177,60.79148288,340.0,397.1912616,18.0,101.0,28,0.8928571428571429,2.520050862804702,1.5319762888292123,0.9880745739754895,0.013933537316667629,0.03097821891453771,0.30698369416082116,0.3315423896936869,9.217722638643437,104.02526715810372,109.2265305160089,10.532594430942822,6.18620062348595,0.09353287646268232,0.09015971737964987,1.03147699494862
26.0,21.15778764,62.36581372,340.0,393.2096354,18.0,101.0,28,0.9285714285714286,2.5153882092320505,1.5687423249045045,0.9466458843275461,0.01422582326463748,0.03226897803597679,0.3134233381664929,0.33849720521981236,9.411084219290741,113.43635137739446,119.10816894626419,10.971452532232108,6.370448065540584,0.103529780119896,0.09941290177515112,1.0896514036175995
27.0,21.19822719,63.04602936,340.0,401.7471933,18.0,101.0,28,0.9642857142857143,2.5216450759113966,1.5897970949140934,0.9318479809973033,0.014518109212607332,0.03355973715741586,0.31986298217216474,0.34545202074593795,9.604445799938047,123.04079717733251,129.19283703619914,11.41031063352139,6.554695507595218,0.10793792211953829,0.10347056308745872,1.1163982884208867
28.0,21.26309397,65.05623748,340.0,391.0966435,18.0,101.0,28,1.0,2.5317097981879284,1.647035138613567,0.8846746595743612,0.014810395160577186,0.03485049627885493,0.3263026261778365,0.35240683627206343,9.79780738058535,132.83860455791785,139.48053478581375,11.849168734810675,6.73894294964985,0.12448044868215498,0.11857627739679012,1.2146151125112232
29.0,21.23094868,66.15612836,340.0,400.6835648,18.0,101.0,28,1.0,2.526717754679532,1.671578641080701,0.8551391135988309,0.015102681108547037,0.036141255400293996,0.3327422701835083,0.359361651798189,9.991168961232658,142.8297735191505,149.97126219510804,12.28802683609996,6.923190391704484,0.1292492341634302,0.1228955708002274,1.2168310502411352
30.0,21.13165685,72.37288376,340.0,409.4004919,18.0,101.0,28,1.0,2.5113524426381724,1.8175381841144451,0.6938142585237274,0.015394967056516889,0.03743201452173307,0.33918191418918003,0.36631646732431444,10.18453054187996,153.01430406103046,160.665019264082,12.726884937389245,7.107437833759118,0.15642338240031553,0.1472123979150615,1.1826190991842218
31.0,21.00872187,71.61131805,340.0,397.3613426,18.0,101.0,28,1.0,2.4924416875304796,1.7848703440682387,0.7075713434622408,0.015687253004486743,0.03872277364317214,0.34562155819485185,0.37327128285044003,10.377892122527268,163.39219618355773,171.56180599273563,13.165743038678528,7.2916852758137525,0.15880636250009533,0.14932110583522196,1.2233443320442
32.0,21.04915797,69.39757744,340.0,403.7241319,18.0,101.0,28,1.0,2.4986480652475658,1.7340012260332411,0.7646468392143245,0.015979538952456594,0.04001353276461121,0.3520612022005237,0.3802260983765656,10.571253703174575,173.9634498867323,182.66162238106892,13.604601139967812,7.475932717868385,0.1503990453297531,0.14186452941375946,1.2560068278597567
33.0,21.14843243,72.92087672,340.0,395.1932292,18.0,101.0,28,1.0,2.5139426934119693,1.8331890522743894,0.6807536411375797,0.016271824900426446,0.04130429188605028,0.35850084620619543,0.3871809139026911,10.764615283821879,184.72806517055417,193.9644684290819,14.043459241257096,7.6601801599230175,0.1778757473166783,0.16606049355997549,1.3089214301412961
34.0,21.55371554,65.03447649,340.0,394.5016204,18.0,101.0,28,1.0,2.5772353145826323,1.6760914947542196,0.9011438198284126,0.016564110848396298,0.04259505100748935,0.3649404902118672,0.3941357294288166,10.957976864469183,195.68604203502335,205.47034413677451,14.482317342546379,7.844427601977651,0.15012072412875854,0.1416168731125556,1.4776323494979189
35.0,20.99629037,55.65507278,340.0,406.0400028,18.0,101.0,28,1.0,2.4905363383794836,1.3861098117374484,1.1044265266420352,0.01685639679636615,0.04388581012892843,0.37138013421753896,0.4010905449549421,11.151338445116487,206.83738048013984,217.17924950414684,14.921175443835665,8.028675044032283,0.08798986005769835,0.08499826585075632,1.0869365061206124
