DAS,TEMP,RH,PPFD,CO2,H,P_ATM,t_A,t_A_%,A,CQY,CUE_24,DCG,DOP,CGR,TCB,TEB,VP_SAT,VP_AIR,VPD,P_GROSS,P_NET,g_S,g_C,DTR
14.0,20.72599495,45.93869359,340.0,418.7790963,18.0,101.0,29.467195544350965,0.4751045948342337,0.14469583323071145,0.057992950435024115,0.625,0.11554872818036256,0.12479262643479158,3.469552773889701,13.469552773889701,12.796075135195215,2.4494226362742477,1.125232759602127,1.3241898766721207,2.853055016799076,2.050633293324336,0.008175384154969509,0.008148736534351126,0.12493894105597424
15.0,21.54017288,53.61063467,340.0,406.4143229,18.0,101.0,29.617753189251673,0.5064530014870785,0.16975822354210152,0.0575839502800182,0.625,0.13460655716307954,0.1453750817361259,4.041797440296498,17.511350214186198,16.635782703476888,2.575098075569053,1.3805264216875255,1.1945716538815274,3.32361869538468,2.3888509373077387,0.026060667021035096,0.025791806350169977,0.35673953785754237
16.0,21.5855135,61.25291695,340.0,396.2568576,18.0,101.0,29.74442777800157,0.5379158785442598,0.19736441841761068,0.057243452251088525,0.625,0.15557099051232987,0.16801666975331628,4.6712912393661,22.1826414535523,21.073509380874683,2.58225961877968,1.5817093397245041,1.000550279055176,3.8412590249958005,2.7609049242157315,0.0456823563055729,0.04486258487082961,0.519733237427313
17.0,21.49777147,62.77004473,340.0,402.9554688,18.0,101.0,29.660577417972334,0.5731513503745592,0.23128967638499323,0.05746845960973314,0.625,0.18302893182884902,0.19767124637515696,5.495763978791892,27.678405432344192,26.29448516072698,2.5684165063169027,1.6121961898678232,0.9562203164490795,4.519232884662939,3.2481986358514874,0.05540371841926466,0.05420251017472944,0.6001152281132295
18.0,21.47418359,65.19331613,340.0,399.8699942,18.0,101.0,29.69904851338487,0.6060800227956022,0.26595482382533364,0.057365037875516035,0.625,0.21008212262218962,0.2268886924319648,6.308083375445832,33.986488807790025,32.28716436740052,2.564706121712044,1.6720169697331955,0.8926891519788487,5.187212904251596,3.7283092749308344,0.06994931468981339,0.06804542242329796,0.7033256441238501
19.0,21.45366064,70.52161072,340.0,399.451331,18.0,101.0,29.70428842834234,0.6396382813826691,0.3043119926630345,0.05735097581541218,0.625,0.2403221606035478,0.25954793345183164,7.216093435902579,41.2025822436926,39.14245313150797,2.561481667279921,1.8063981300633114,0.7550835372166098,5.933880508729577,4.264976615649384,0.09521137345169878,0.09171832247045947,0.8018781604005673
20.0,21.41556871,72.06888069,340.0,409.3249421,18.0,101.0,29.58196031330123,0.6760877165739149,0.34953491389097197,0.057680769905202114,0.625,0.2776230693110616,0.2998329148559466,8.336118496435919,49.53870074012852,47.06176570312209,2.555506268192696,1.8417247634492655,0.7137815047434304,6.854890600273127,4.92695261894631,0.11178884132363531,0.10700409577041223,0.8843475413814101
21.0,21.3844964,65.20032942,340.0,415.8295428,18.0,101.0,29.502758645830703,0.7117978441303385,0.397534311845275,0.057895933123631046,0.625,0.3169250864766214,0.3422790933947511,9.51623034036189,59.054931080490405,56.10218452646589,2.550641055429344,1.6630263704616972,0.8876146849676467,7.825310777200529,5.62444212111288,0.1001144702556126,0.09625967568051967,0.9892957735934826
22.0,21.28865989,58.28784001,340.0,416.2971354,18.0,101.0,29.49710636890751,0.7458358703004813,0.4467773160864341,0.057911336157948,0.625,0.35627770034666756,0.384779916374401,10.6978614388843,69.75279251937471,66.26515289340597,2.535686247973084,1.4779967433741228,1.0576895045989612,8.796980255473274,6.322829558621415,0.08269372734133691,0.0800460062936528,0.9802912912991181
23.0,21.23827253,52.80865919,340.0,403.5656829,18.0,101.0,29.652999260797728,0.775638234693068,0.49275492276901744,0.05748886885152583,0.625,0.3900755015140322,0.4212815416351548,11.712699565086465,81.46549208446118,77.39221748023812,2.52785436310784,1.334925995433164,1.1929283676746758,9.631493864544007,6.922636215141005,0.06745939785806164,0.06568691788693969,0.907299207962476
24.0,21.31791245,54.24721924,340.0,395.1063368,18.0,101.0,29.758953319401254,0.8064799773839249,0.5432089570096343,0.05720462801817371,0.625,0.4278898932522359,0.4621210847124148,12.848142852211573,94.31363493667274,89.5979531898391,2.54024280866143,1.3780110856428995,1.1622317230185304,10.565182549437925,7.593724957408508,0.08442974523865937,0.08167154223693426,1.0990583820986832
25.0,21.18793177,60.79148288,340.0,397.1912616,18.0,101.0,29.732657735520547,0.8408262800581527,0.6029046609908951,0.05727494522572342,0.625,0.47549643385426105,0.513536148562602,14.277612545233431,108.59124748190618,103.16168510781087,2.520050862804702,1.5319762888292123,0.9880745739754895,11.740652687759534,8.438594119327165,0.12758816425791558,0.12139284800549126,1.3888012707681914
26.0,21.15778764,62.36581372,340.0,393.2096354,18.0,101.0,29.782980159958022,0.8729818124431993,0.6622103099642896,0.05714051001613942,0.625,0.5210435098749338,0.5627269906649285,15.645243210137165,124.23649069204335,118.02466615744117,2.5153882092320505,1.5687423249045045,0.946645884327546,12.865271848763797,9.24691414129898,0.15027686875193186,0.14175582042367918,1.5537664220383487
27.0,21.19822719,63.04602936,340.0,401.7471933,18.0,101.0,29.675612204766143,0.9098380115529203,0.7343331618774396,0.05742800426045009,0.625,0.5806986350561792,0.6271545258606737,17.43649274017313,141.67298343221648,134.58933426060565,2.5216450759113966,1.5897970949140934,0.9318479809973033,14.338237902621712,10.305608492509355,0.16970520836093442,0.15891755373351216,1.714645012979842
28.0,21.26309397,65.05623748,340.0,391.0966435,18.0,101.0,29.809866208522262,0.93928633574327,0.7952029083659956,0.057068913251897606,0.625,0.6249014069998444,0.674893519559832,18.76375832263258,160.43674175484907,152.4149046671066,2.5317097981879284,1.647035138613567,0.8846746595743613,15.429664370366533,11.090071266200946,0.20485364803474074,0.18933893908047555,1.9394599142662319
29.0,21.23094868,66.15612836,340.0,400.6835648,18.0,101.0,29.688879613255736,0.9767967123640409,0.8769875370373076,0.057392344318309536,0.625,0.6930767443808018,0.748522883931266,20.810842134336237,181.2475838891853,172.18520469472602,2.526717754679532,1.671578641080701,0.8551391135988309,17.113006034093875,12.299973087004972,0.22962853999090976,0.21031116196461888,2.0823626956160988
30.0,21.13165685,72.37288376,340.0,409.4004919,18.0,101.0,29.581034184225082,1.0,0.93,0.05768327856571537,0.625,0.7386978336404075,0.7977936603316402,22.180695176262105,203.4282790654474,193.25686511217503,2.5113524426381724,1.8175381841144451,0.6938142585237272,18.2394526824792,13.109606615531925,0.2885215539978167,0.25866892940469866,2.0779962870792557
31.0,21.00872187,71.61131805,340.0,397.3613426,18.0,101.0,29.73051793394324,1.0,0.93,0.057280673899305405,0.625,0.733542038021895,0.7922254010636467,22.025883390173934,225.45416245562134,214.18145433284027,2.4924416875304796,1.7848703440682387,0.7075713434622408,18.112149086960372,13.018107156252768,0.283522692755036,0.2546437770140962,2.086222302989675
32.0,21.04915797,69.39757744,340.0,403.7241319,18.0,101.0,29.651033130302483,1.0,0.93,0.057494165940689894,0.625,0.7362760384530689,0.7951781215293144,22.107976537620686,247.56213899324203,235.18403204357992,2.4986480652475658,1.7340012260332411,0.7646468392143246,18.179655270446144,13.066627225633166,0.26287131446727735,0.23786062084288828,2.1059144600288806
33.0,21.14843243,72.92087672,340.0,395.1932292,18.0,101.0,29.75785500180969,1.0,0.93,0.05720756201767328,0.625,0.7326057599545258,0.791214220750888,21.997770002714557,269.55990899595656,256.0819135461587,2.5139426934119693,1.8331890522743894,0.6807536411375799,18.08903110998829,13.001491110304084,0.30190542509377866,0.26937510309049245,2.1232674769470226
34.0,21.55371554,65.03447649,340.0,394.5016204,18.0,101.0,29.766602750359908,1.0,0.93,0.05718420098214215,0.625,0.7323065961974106,0.7908911238932035,21.988787087370596,291.5486960833272,276.9712612791608,2.5772353145826323,1.6760914947542196,0.9011438198284127,18.081644350553347,12.996181876960218,0.24871110210596528,0.22620702291649677,2.360247104731466
35.0,20.99629037,55.65507278,340.0,406.0400028,18.0,101.0,29.622372405294957,1.0,0.93,0.05757147454911388,0.625,0.7372660602234071,0.7962473450412797,22.13770367381319,313.68639975714035,298.00207976928334,2.4905363383794836,1.3861098117374484,1.1044265266420352,18.20410025242981,13.084197056433926,0.14339559910557273,0.1356168550349525,1.734234329457737
